22479	1	5	-1	10	15203.1	1,6,4,8,5,2
236689	0	5	-1	9	9674	1,4,8
495963	0	5	-1	-1	7210.5	1,4
569249	0	5	-1	9	6581.6	1,6,4,8,5,2
657952	0	5	-1	-1	9210.1	1,4,5
937371	0	4	-1	9	7607.5	1,6,4,8,5,2
1044636	0	4	-1	2	9670.9	-1
1132823	0	4	4	8	13620	1,6,4,5,2
1206718	0	6	-1	9	9287.9	1,6,4,5,2
1340286	1	5	-1	8	12554.9	1,4,5,2
10058307	0	3	-1	8	8084.1	1,6,4,8,2,10
10200149	0	3	-1	9	6553.5	1,6,4,5,2
10210044	0	5	-1	-1	8242.7	1,6,4,8,5,2
10376162	0	7	-1	9	8247.7	1,5,2
10397464	1	4	-1	2	10328.9	1,6,4,5,2
10804266	0	4	-1	9	10137.9	1,4,5,2,10
10954379	0	5	-1	-1	8577.8	1,6,4,5,2
10974942	0	4	-1	9	19280.8	1,6,4,8,5,2
11024450	1	3	-1	2	8598.8	1,6,4,5,2,10
11324359	0	4	-1	9	8792	1,6,4,8,5,2,10
11481629	0	4	-1	-1	10055.2	1,4,8,2
11594649	0	6	-1	9	10937.7	1,4,5,2
12001936	0	4	-1	9	10614.8	1,6,4,5
12007943	0	5	-1	-1	5739.8	1,6,4,8,5,2
12081324	0	4	-1	8	9033.7	1,6,4,5,2
12313922	0	6	-1	9	9113.2	1,2
12321589	-1	-1	-1	-1	-1	-1
12335362	1	4	-1	9	9998.3	1,6,4,5,2
12365911	0	4	-1	-1	7300	1,4,8,5,2
12526410	0	3	3	10	10127.7	1,4,5,2
12606293	1	6	-1	-1	10864.4	1,5,2
12659605	0	4	-1	9	8725.7	1,6,4,8,5,2
12681521	0	4	-1	9	9544.6	1,6,4,5,2
12801824	0	5	-1	5	7372.5	1,4,5,2,10
12911523	1	4	-1	9	8292.8	1,5,2
12925664	0	5	-1	10	11755	1,6,4,8,5,2
12955656	0	4	-1	9	10035.2	1,6,4,5,2
13033104	0	4	-1	2	8399.8	1,6,4,5
13098207	0	4	-1	9	9724.9	1,4,8,5
13335879	1	4	-1	9	8657.9	1,6,4,5,2
13689988	0	3	-1	2	7486.7	1,6,4,5,2
13786893	0	3	-1	9	12483.4	1,6,4,8,5,2
13862682	0	4	-1	7	10387.5	1,6,4,5,2
14003138	1	3	-1	9	9151.5	1,6,4,5,2
14146805	0	4	-1	9	8440.7	1,6,4,5,2
14414145	0	5	-1	10	9536.1	1,6,4,8,5,2,10
14426751	0	3	-1	9	9110.7	7,5,2
14476649	0	5	-1	9	9106.3	1,4,8,5,2
14530498	0	4	5	7	14186.2	1,6,4,5,2
14584420	-1	-1	-1	-1	-1	-1
14994972	0	4	-1	9	8060.1	1,6,4,5,2
15098052	0	4	-1	2	6984.8	1,6,4,5,2
15108303	0	4	-1	9	12152.8	1,6,4,5,2
15195016	0	5	-1	9	10366	1,4,5,2
15353406	1	4	-1	10	6127.9	1,6,4,8,5
15418635	1	4	-1	9	11643.7	1,6,4,5,2
15419625	0	4	3	2	12445.2	1,6,4,5,2
15637770	0	4	-1	10	7291.6	1,4,5,2
15712725	0	4	-1	9	9654.2	1,4,8,5,2
15828916	0	3	3	9	8310	1,6,4,8,5,2
16141903	0	4	4	9	10805.1	1,6,4,2
16166951	0	5	-1	9	12964.4	1,6,4,8,5,2
16250471	1	4	-1	9	7947	1,6,4,5,2
16346869	1	4	-1	2	9455.6	1,6,4,5
16459350	0	5	-1	10	8577.9	1,4,5,2
16707923	0	4	-1	2	9793.4	1,6,4,2,10
16890435	0	3	-1	10	6133.8	1,6,4,8,5,10
17184292	0	5	-1	9	8499.5	1,4,5
17197290	0	5	-1	9	9034.1	1,4,8,5,2
17550633	0	4	-1	10	8366	1,6,4,8,5,2
17647340	0	4	-1	3	7623.8	1,6,4,8,5,2,10
17651846	0	5	-1	9	7740.5	1,4,5,2,10
17665420	1	6	-1	9	10051.2	1,4,8,5,2
17849727	1	4	-1	7	7736.7	1,4,8,5,2
18055835	0	4	-1	9	9236.1	1,4,8,5,2,10
18087354	0	4	-1	-1	8956.9	1,6,4,8,5,2
18160493	0	3	-1	9	10232.3	1,4,5,2
18223740	1	4	-1	9	8412.2	1,4,5,2
18344147	0	3	3	9	10506	1,6,4,5,2
20161877	0	4	-1	-1	7225.5	1,6,4,5,2
20167454	0	3	-1	9	8384.8	1,6,4,8,5,2
20226250	1	5	-1	9	8808.9	1,6,4,8,5
20332407	0	4	-1	9	8483.9	1,6,4,5,2
20494379	0	4	-1	9	9936.8	1,6,4,8,5,2
20684105	0	4	-1	5	8907.1	1,6,4,8,5,2
20876989	1	4	-1	9	7500.5	1,6,4,8,5
21048290	0	3	-1	9	7200.7	7,2
